Marca,Modelo,Precio,Provincia,Año,Kilometraje,Transmisión,Dirección,Motor,Tracción,Color,Combustible,Enlace
TOYOTA,COROLLA CROSS HIGH,28900.0,PICHINCHA,2023,36000,AUTOMATICA,ELECTRONICA,1800,4x2,PLOMO,HIBRIDO,https://www.autoconfianza.com.ec/vehiculo/1882916
KIA,NIRO,26400.0,PICHINCHA,2023,19000,TIPTRONIC,ELECTRONICA,1600,4x2,BLANCO,HIBRIDO,https://www.autoconfianza.com.ec/vehiculo/1882915
VOLKSWAGEN,T-CROSS TRENDLINE,20900.0,PICHINCHA,2021,28000,MANUAL,ELECTRONICA,1600,4x2,BLANCO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1882914
RENAULT,STEPWAY INTENS FASE,14900.0,PICHINCHA,2021,36000,MANUAL,ELECTRONICA,1600,4x2,PLOMO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1882913
HYUNDAI,TUCSON TL,22900.0,PICHINCHA,2019,42000,MANUAL,ELECTRONICA,2000,4x2,NEGRO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1882912
NISSAN,VERSA,9900.0,PICHINCHA,2013,94000,AUTOMATICA,HIDRAULICA,1600,4x2,PLOMO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1882700
HYUNDAI,TUCSON,9400.0,TUNGURAHUA,2007,153000,TIPTRONIC,HIDRAULICA,2000,4x2,CREMA,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1882698
PEUGEOT,3008 GT-LINE,25400.0,PICHINCHA,2022,69000,TIPTRONIC,ELECTRONICA,1600,4x2,BLANCO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1882490
GREAT WALL,POER,24400.0,PICHINCHA,2023,28000,MANUAL,ELECTRONICA,2000,4x2,PLOMO,DIESEL,https://www.autoconfianza.com.ec/vehiculo/1882485
FORD,EDGE SEL,18400.0,PICHINCHA,2016,175000,TIPTRONIC,ELECTRONICA,3500,4x2,BLANCO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1882481
TOYOTA,FORTUNER,37400.0,PICHINCHA,2018,71000,TIPTRONIC,HIDRAULICA,2700,4x4,CAFE,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1882433
